CaseNumber,DateOfRequestReceived,Division-Branch,ApplicantCategory,Outcomes,ExemptionsApplied,DateOfResponseSent,DaysTakenToComplete,RequestWording
2039,2017-05-09,Information Management,Media,All withheld,S31,2017-06-02,18,"1) Does your organisation keep an incident log of cyber attacks?2) How many cyber attacks - attempted and successful - were recorded against your organisation in the last three financial years (ie 2014/15, 2015/16, 2016/17)?3) Where cyber attacks were successful, what kind and amount of data, if any, was lost or stolen? Was it confidential?For each case, please confirm:4) The type of attack (eg ransomware, denial of service etc)5) What demand, for example a Bitcoin payment, was made to resolve the attack? Did your organisation comply?6) Whether the attack was reported to police or other responsible authority? To the best of your knowledge, was the attacker traced/convicted?"
2040,2017-05-11,Resilience Team,Legal,Rejected on cost grounds,s12,2017-05-16,3,"[An individual] v [A company selling food]We write in relation to the above matter and can confirm that we are instructed on behalf of [an insurer] to investigate the circumstances of an alleged outbreak of e-coli at their insured premises. [a company selling food]We are currently investigating the circumstances if the outbreak and understand that you were consulted in respect of a wider outbreak in the region in and around June 2016. Two personal injury claims have very recently been intimated against [a company selling food]. In light of this, we should be grateful for your full file of papers in respect of [a company selling food] and all correspondence relating to your investigation of the outbreak as a whole in the south west region. Our understanding is that there was a regional outbreak of E.Coli at this time and any information you can provide about this would be gratefully received. We would also be grateful to receive details of any inspections carried out of [a company selling food] in the 3 years pre-incident and any inspections completed thereafter. "
2042,2017-05-12,Approvals,Member of the Public,All withheld,"s30, s43",2017-09-05,80,"The number of non-compliances - minor, major and critical - recorded by FSA auditors during full audits at the following slaughter establishments between January 2015 and the present day: ABP Yetminster (8216)Cargill Meats (4014) Dalehead Foods (5091)Faccenda Foods (Scropton/Derbyshire) (4026)Dawn Carnaby (2100) along with details of the question (e.g Q 11, Q 212, Q 35 etc) where the non-compliances were found, as outlined in the FSA's published meta data for audits  https://www.food.gov.uk/sites/default/files/fbo-audit-publication-metadata.csv  Please include the details/description of the non-compliances themselves as well as the overall question/area of non-compliance, as you have done in the recent - attached - response.And dates for the full audits where the non compliances were identified."
2045,2017-05-12,FHRS,Media,Not held,n/a,2017-06-08,18,"I am writing to you under the Freedom of Information Act 2000 to request the following information from the Food Standards Agency:1. Please provide a breakdown of the most recent hygiene ratings for each outlet at service stations in the UK.2. Please detail each service station location and within each location, the individual restaurants/cafes.3. Please provide a score for each food and drink outlet.4. For anything scoring two or less out of five, please provide the reasons."
2044,2017-05-15,Contaminants,Business,All withheld,s22,2017-06-02,13,"Please provide a copy of the reports that contain the results arising from the following FSA commissioned projects, by email (my full contact details below).FS102009-A (contractor: Fera)FS102009-B (contractor: Imperial Consultants)Your website confirms the projects have completed however does not contain results. I am aware that Imperial has a launch event arranged for FS102009-B hence I assume the results for both projects are now available."
2043,2017-05-16,Resilience Team,Legal,Part withheld,"s40, s43",2017-06-14,20,"Please provide any pertinent information you hold demonstrating that the outbreak of e coli at [a company selling food] in 2016 was linked to the broader ecoli outbreak in the South West region at that time. Please note that I do not require an exhaustive record of all files with respect to this outbreak, only information relating to your investigation of [a company selling food] and enough information to sufficiently demonstrate the above. I will need to see any specific correspondence between the FSA and [a company selling food] at the time of this outbreak and any correspondence between the FSA and[a company selling food] in the 3 years prior to this incident. "
2046,2017-05-19,Comms,What do they know,Not held,n/a,2017-05-26,5,"1. how much has been spend on mobile app development over the last 3 years 2. how many mobile apps have been produced in the last 3 years 3. who built the apps, were they internally created or externally (if external, please specify who created them)"
2047,2017-05-23,Resilience Team,Media,Part withheld,s12,2017-06-20,19,"1. The number of reports of food fraud received by the National food Crime Unit in the last five financial years.By food fraud I mean cases which you describe on your web page as:relating to food production or supply, which is either complex or results in serious detriment to consumers, businesses or the overall public'.The National Food Crime Unit would like to hear from you if you have suspicions about:? food or drink that has potentially been adulterated or substituted? methods used in workplaces for producing, processing, storing, labelling or transporting food that appears illegal or substandard? companies or businesses that are selling items of food or drink that purport to be of a certain quality, suggest health benefits or claim to be from a specific place or region, but do not appear genuine or are suspected to be fake ? 2. Please provide breakdowns for the three above categories for the last five years.? 3. Please provide figures on the number of reports referred to other authorities and which other authorities were alerted in the same time frame.? 4. The number of reports made to you by a) a member of the general public and b) an officer or employee of a local authority.? 5. The number of staff employed full time or part time by the NFCU."
2048,2017-05-31,IT,Member of the Public,All provided,n/a,2017-06-09,7,"Please can you send me the organisation?s Local Area Network (LAN) contract, which may include the following: Support and Maintenance- e.g. switches, router, software etc Managed Installation Cabling1. Existing Supplier: Who is the current supplier for each contract?2. Annual Average Spend for Supplier: What is the annual average spending on the supplier above? If there is more than one supplier please split the annual averages spend for each supplier.3. Number of Users: Please can you provide me with the number of users each contract covers. Approximate number of users will also be acceptable.4. Number of Sites: The number of sites where equipment is supported by these contract.5. Contract Type: For each contract is the contract Managed, Maintenance, Installation, Software 6. Hardware Brand: What is the hardware brand of the LAN equipment? 7. Contract Description: Please provide me with a brief description of the overall contract. 8. Contract Duration: What is the duration of the contract is and can you please also include any extensions this may include for each contract.9. Contract Expiry Date: When does the contract expire for each contract?10. Contract Review Date: When will the organisation is planning to review the contract?11. Responsible Officer: Who within the organisation is responsible for each of these contract(s) please provide me with contact details including name, job title, contact number and email address? If the LAN maintenance is included in-house or managed please include the following information:1. Hardware Brand: What is the hardware brand of the LAN equipment?2. Number of Users: Please can you provide me with the number of users this contract covers. Approximate number of users will also be acceptable.3. Number of Sites: Estimated/Actual number of sites the LAN covers.4. Responsible Officer: Who within the organisation is responsible for LAN please provide me with contact details including name, job title, contact number and email address?"
2049,2017-05-31,Legal,Business,All provided,n/a,2017-06-28,20,"I would like to know the amount of money your department spent on the services of external law firms and barristers for the year ending March 31st 2017.Please exclude legal services provided by the Government Legal Department. However, please include legal services that the Government Legal Department has outsourced to a third party.You can approximate spending levels, i.e. if you are not able to provide the exact figures, you can give us your best estimate.Please note that the figure we have requested should exclude spending by your department on the GLD (Government Legal Department) and its predecessor the TSoL (Treasury Solicitor?s Department)."
2050,2017-06-07,Approvals,Business,All provided,n/a,2017-06-08,1,May I please formally request you disclose the name of the requestor to myself and let me know the outcome of this request.
2051,2017-06-08,HR,Business,All provided,n/a,2017-06-12,2,Please could you let me know the names and email addresses for your: Head of Research Head of Analysis Head of Intelligence Head of Performance If this/these exact job title is not in post at Food Standards Agency then the closest person to the role who performs statistical or survey analysis would be helpful 
2052,2017-06-09,Finance,Member of the Public,All provided,n/a,2017-06-21,8,Under the FOI Act please can you let me know your orginsations budget for:20162017This is the total operating budget for your orginsation across all departments etc
2053,2017-06-14,Operations,Industry,All provided,n/a,2017-08-09,40,"1. What regular checks are carried out to ensure that chickens stunned for halal do not present any signs of consciousness or sensibility in the period between the end of the stunning process and death; such checks are required by Article 5.1 of Regulation 1099/2009? How often are such checks carried out and on what proportion of chickens are they carried out?2. as it can be difficult to differentiate between a properly stunned chicken and one that has been electro-immobilised but remains conscious, what guidance is issued to Official Veterinarians (OVs) as to how to assess if a chicken has been properly stunned rather than being electro-immobilised?3. How often has effective stunning been reported by OVs as regards chickens being stunned for Hala in (i) 2015, (ii) 2016 and (iii) to date in 2017.4. What proportion of chickens stunned for Halal were stunned with frequencies of 800 HZ or above in (i) 2015, (ii) 2016 and (iii) to date in 2017?5. What steps does the FSA take to remind business operators of slaughterhouses that stun chickens for Halal that though they are not bound by Table 2 of Chapter II of Annex I to EU Regulation 1099/2009, they are obliged to comply with Articles 3 and 5 of that Regulation?"
2054,2017-06-15,Legal,Member of the Public,Not held,n/a,2017-07-12,19,"Under the Freedom of Information Act, I request access to the following records and information:- Any policies, directives or guidance around the use of Internet Connection Records (ICRs), from November 2016 to the date this request is processed- How many times this organisation/department has requested access to ICRs- How many times this organisation/department has been successful in gaining access to ICRs- For what purpose each of the requests for ICRs was for (i.e., investigation into corruption, etc)"
2055,2017-06-19,Approvals,Media,All withheld,s30,2017-09-07,60,"Under the Freedom of Information Act could you please send me the most recent FSA audit inspection report from Stillmans abattoir - I believe this was in May and Stillmans was rated as 'generally satisfactory' overall.Please including the number of non-compliances - minor, major and critical - recorded by FSA auditors during full audit along with details where the non-compliances were foundLet me know if you have any questions/need clarification"
2056,2017-06-20,IT,Business,All provided,n/a,2017-06-28,6,"Contract 11. Current Fixed Line (Voice Circuits) Provider- Supplier?s name, if there is not information available please can you provide further insight into why?2. Fixed Line- Contract Renewal Date- please provide day, month and year (month and year is also acceptable). If this is a rolling contract please provide me with the rolling date of the contract. If there is more than one supplier please split the renewal dates up into however many suppliers3. Fixed Line- Contract Duration- the number of years the contract is for each4. Type of Lines- Please can you split the type of lines per each supplier? PTSN, Analogue, SI5. Number of Lines- Please can you split the number of lines per each supplier? SIP trunks, PSN Lines, Analogue Lines Contract 26. Minutes/Landline Provider- Supplier?s name (NOT Mobiles) if there is not information available please can you provide further insight into why?7. Minutes/Landline Contract Renewal Date- please provide day, month and year (month and year is also acceptable). If this is a rolling contract please provide me with the rolling date of the contract.8. Minutes Landline Monthly Spend- Monthly average spend. An estimate or average is acceptable.9. Minute?s Landlines Contract Duration: the number of years the contract is with the supplier.10. Number of Extensions- Please state the number of telephone extensions the organisation currently has. An estimate or average is acceptable. Contract 311. Fixed Broadband Provider- Supplier?s name if there is not information available please can you provide further insight into why?12. Fixed Broadband Renewal Date- please provide day, month and year (month and year is also acceptable). If this is a rolling contract please provide me with the rolling date of the contract. If there is more than one supplier please split the renewal dates up into however many suppliers13. Fixed Broadband Annual Average Spend- Annual average spend for each broadband provider. An estimate or average is acceptable.14. VOIP/PBX Installation Date of the organisation?s primary telephone system: - please provide day, month and year (month and year is also acceptable). Contract 4 15. WAN Provider- please provide me with the main supplier(s) if there is not information available please can you provide further insight into why?16. WAN Contract Renewal Date- please provide day, month and year (month and year is also acceptable). If this is a rolling contract please provide me with the rolling date of the contract. If there is more than one supplier please split the renewal dates up into however many suppliers17. Contract Description: Please can you provide me with a brief description of the contract18. Number of sites: Pleas state the number of sites the WAN covers. Approx. will do.19. WAN Annual Average Spend- Annual average spend for each WAN provider. An estimate or average is acceptable.20. Internal Contact: please can you send me there full contact details including contact number and email and job title.If your organisation has a managed services contract which includes all or two out of three of the services stated above please state which of these is included with the contract. It would also be for me to if there are any other service support areas that are included within these contracts. Managed Service Contract ? Number of Extensions?   Type of Lines? Number of Lines? Minutes Landline Monthly Average Spend? Fixed Broadband Average Annual Spend? WAN Average Annual Spend? Internal Contact: please can you send me there full contact details including contact number and email and job title. "
2058,2017-06-23,Openness,Business,All provided,n/a,2016-07-05,8,"My request relates to the Nature of Business Travel and the Procurement and Usage of Vehicle Ownership, Lease or Rental. I?ve detailed below the information that we require: What type of vehicle(s) are you currently using for business related travel? (e.g. van ? fleet/hire, car ? fleet/hire/company cars/employee reimbursement/taxi, private hire and bus/train) What is the annual spend on business related travel at Food Standards Agency? Who is the person within Food Standards Agency responsible for procuring and /or managing business travel? (Please provide name, job title, telephone, email and address details) When are your aforementioned car/van related transport arrangements due to expire? (Please provide details of each form of transport and each provider) "
2059,2017-06-23,FHRS,Business,Part withheld,S40,2017-08-03,20,"******************REQUEST SENT TO FHRS*****************As a freedom of information request, can you please forward me any and all correspondence or notes between yourselves and [an individual] and anything between yourself and [a local authority] I'm particularly interested to know also whether you have records of any other instances of [the local authority] reporting incorrect scores.**********REQUEST SENT TO FOOD CRIME**********As a Freedom of Information Request, can you please forward me any and all correspondence or notes between yourselves and [an individual] and anything between yourself and[an individual] or HBC in relation to any reports of suspicions by any of these parties about food crime. As a general enquIry, are you able to enlighten me as to how an inspector is expected or legally required to respond to allegations described above?"
2060,2017-06-26,Communications,Media,All provided,n/a,2017-08-21,40,"I am looking for information about payments to celebrities. Please could you provide me with the following:1. Please could you provide a list of celebrities who have received payments over the past three calendar years (2015/16/17) up until the present date.2. In each case where a celebrity has been paid please could you state how much they were paid, the date they were paid and why they were paid (i.e. promotional campaign/advert, speaking fee, performing fee, appearance fee etc).3. In each case where a celebrity has been paid please could you include any expenses that were also paid and detail what they were for (travel, accommodation etc). Please could you break down what was paid to the celebrities in fees and what was paid to them in expenses. Please note, for the purpose of this request a ?celebrity? should be taken to mean a famous person in sport, entertainment, film, music, reality TV, vlogging, or any other field. "
2064,2017-06-26,Legal,What do they know,Advice and Assistance provided,,2017-07-31,25,I'd like to know when you will be updating the prosecution's data on your website? This page: https://www.food.gov.uk/enforcement/prosecutions It hasn't been updated from last year.
2062,2017-06-27,IT,Member of the Public,All withheld,s31,2017-07-19,16,"1. For 2012, 2013, 2014, 2015, 2016 and 2017 (to date):a. The number of cyber attacks that you have been a target of, with the date of each attackb. For each attack, please state whether data was compromised and if so what was compromisedc. For each attack, please state how many devices were affectedd. For each attack, if known, the technique used i.e. DDoS (Direct Denial of Service), Adware, Phishing, Tampering, Spoofing, Bluejacking, Password attackse. For each attack, whether it was reported to the policef. For each attack, whether it was reported to the Information Commissioner?s Office"
2065,2017-06-30,Operations,Member of the Public,All withheld,s38,2017-07-26,18,Would you therefore provide me with a list of UK abattoirs 1) which are 100 per cent non halal2) which do both and sort by  a) slaughtering animals using reversible stunning  b) slaughtering animals without stunning3) which are only halal and sort by  a) slaughtering animals using reversible stunning  b) slaughtering animals without stunning
2063,2017-07-03,Board Sec,Member of the Public,All provided,n/a,2017-07-06,3,"1. Could you please let me know how the FSA board is elected and by whom? Is there a time span on how long board members are able to keep their positions? 2. Are there any penalties, financial or otherwise, issued to board members if board members fail to publicly disclose shareholdings or positions that represent a conflict of interest with their duties as a FSA board member? "
2067,2017-07-13,Complaints Enquiries and Reporting,Media,Rejected on cost grounds,s12,2017-08-10,20,"I am requesting under the Freedom of Information Act to receive a copy of any internal report, inquiry or briefing circulated to Senior Civil Service members (SCS Pay Bands 1, 2 or 3) or ministers at your organisation during 2016 or 2017 to date containing the words ?secret?, ?classified?, ?confidential? or ?restricted?. Any such documents should be considered within the scope of this request whether the above words are in cover pages, the body of the text or watermarked on the document. I remind you that designating reports by such terms carries no legal force and does not confer automatic exemption from the act. I trust that it will be a quick and simple matter to search for these words and should be easily achievable within cost limits stipulated by the act."
2066,2017-07-14,Operations,Member of the Public,All withheld,"s30, s43",2017-09-11,40,"Is it possible to give me the current audit reports, none compliances and any outstanding improvement notices for the following premises1. Al Ummah No 24502. Medina 23383. Bolton Halal 26204. Yorkshire Poultry 23995. Yorkshire Poultry cutting plant 2031"
2070,2017-07-26,Information Management,Business,All provided,n/a,2017-08-16,15,"I would like to make a request under the Freedom of Information Act.I require the Names, Job titles, Email addresses and Telephone numbers of: The person who leads and is responsible for IT & Information Security. The Person who is responsible for the compliance of GDPR (General Data Protection Regulation).Can you also please confirm the number of contractors is said areas."
2071,2017-07-27,Incidents,Media,Part withheld,s43,2017-08-24,20,"The FSA press office tells me the GM ingredient involved was GM soya. The two products were a flapjack/cereal bar and a ?spicy snack product?.I would like to know:Who identified the presence of the GM ingredients in these products and when? The name of each of these two products.The manufacturers/suppliers of these two products.The names of the two local authorities which were asked to pursue the discovery of the GM ingredients in these products. The FSA guiding principles include 'putting consumers first' and 'being open and accessible'. Consequently, I would expect the FSA to provide the information I have requested.There are no FoI Act exemptions that allow the FSA to withhold this information.Please let me know if you have any questions or if there is any more information that I can supply."
2072,2017-07-27,FSA IT ,Member of the Public,All provided,n/a,2017-08-23,19,"I would like to submit a Freedom of Information Request relating to specific ICT contract(s) for Server Hardware Maintenance, Server Virtualisation Licenses and Maintenance and Storage Area Network (SAN) Maintenance/Support which may include: Server Hardware Maintenance- contracts relating to the support and maintenance of the organisation?s physical servers. Virtualisation Licensing (VMware, Solaris, Unix, Linux, Windows Server)- Virtualisation Maintenance/Support (VMware, Solaris, Unix, Linux, Windows Server) Storage Area Network Maintenance/Support (EMC, NetApp etc) For each of the types of server ICT contracts above can you please send me the following data types: 1.  Contract Title: Please provide me with the contract title. 2.  Contract Type: Please can you provide me with one or more contract types the contract relate to: Server Hardware, Virtualisation, SAN (Storage Area Network) 3.  Existing/Current Supplier: Please provide me with the supplier name for each contract. 4.  Hardware Brand: Please state the hardware brand of the servers related to the contract with supplier e.g. Hardware Maintenance could be Dell, IBM etc 5.  Operating System / Software (Platform): (Windows, Linux, Unix, Vsphere, AIX, Solaris etc.) Please state the operating system used by the organisation. 6.  Annual Average Spend: Please provide me with the annual average spend for this contract? 7.  Contract Duration: (Please can you also include notes if the contract includes any contract extension periods.) 8.  Contract Expiry Date: Please can you provide me with the date of when the contract expires. 9.  Contract Review Date: (An approximate date of when the organisation is planning to review this particular contract.) 10.  Purchase of Servers: Could you please provide me with the month and year in which most/bulk of servers where purchased. 11.  Number of Physical Server: Please can you provide me with the number of physical servers. 12.  Number of Virtual Servers: Please can you provide me with the number of Virtual servers? servers. 13.  Brief Contract Description: I require a brief description of the service provided under this contract. Please don?t just put maintenance I need at least a sentence. 14.  Internal Contact: (The person from within the organisation that is responsible for reviewing and renewing this particular contract. Please include their full name, job title, direct contact number and direct email address.)If there is more than one supplier for these contract can you, please split the contract individually for each supplier. So the information above which I am requesting is for each supplier.If this service is part of a managed contract please can you send me the contract information for this managed service including Hardware Brand, Number of Users, Operating System, and contact details of the internal contact responsible for this contract."
2073,2017-08-01,Food Crime Unit,Media,All provided,n/a,2017-08-24,17,"My FOI request relates to DNP, and other similar chemicals being used as diet pills. I note that tackling use of these is a priority of the FSA. I would like to confirm the following: 1) On your site, it states: ""We lead national operations against people who sell DNP and work with international and law enforcement partners to bring them to justice."" a) Please confirm the number of operations the FSA has been involved in, and how many of these have been with international enforcement partners? versus how many were domestic. Please state the outcome. (i.e. lead to prosecution)Please provide this information over the timeframe 1 Jan 2012 - 1 August 2017 and break it down by year. b) Please confirm how many separate instances pills have been seized in the UK (and if known country of origin of pills) Please provide this information over the timeframe 1 Jan 2012 - 1 August 2017 and break it down by year. Could you please confirm which international and law enforcement partners the FSA works with?2) On your site, it states: ""We would like to hear from you if you have information about people selling or importing DNP as a 'fat burner' or for any type of human consumption.""Please confirm the number of people who have sent in information about this issue in each year. Please provide this information over the timeframe 1 Jan 2012 - 1 August 2017 and break it down by year."
2074,2017-08-02,Procurement,What do they know,All provided,n/a,2017-08-30,19,"Please could you provide the following information with regards to your current printing expenditure :1. Current printing and photocopier contract details? a. Photocopiers/MFD?s b. Printers c. Print room / reprographics 2. Companies awarded? a. Photocopiers/MFDs b. Printers c. Print room / reprographics3. Length of contract/s and end dates? a. Photocopiers/MFDs b. Printers c. Print room / reprographics4. Number of devices? a. Photocopiers/MFDs b. Printers c. Print room / reprographics5. Annual print/copy volume a. Photocopiers/MFDs b. Printers c. Print room / reprographics6. Annual spend? a. Photocopiers/MFDs b. Printers c. Print room / reprographics7. Details on how these were procured. i.e. By Framework a. Procurement method b. If Framework, please state which one8. Do you have any print management software? If so, which software?9. Do they supply you with any scanning software (additional to the software native to the device)?10. What Document Management solution/s do you currently use within your organization? 11. What PDF software do you pay for? And how many licenses do you pay for (an average per annum would be a good number here please)?12. What is the name of the person within your organization responsible for the MFDs and the contract, what is their title, and their email address please?13. How do you procure your print consumables/supplies?14. What is the annual spend on print consumables?15 Do you use a framework to procure consumables?"
2095,2017-08-02,Field Operations,Member of the Public,Rejected on cost grounds,n/a,2017-09-19,32,"Please provide copies of all correspondence between yourselves and Cleveland Meat Company from the last 6 months. Please also included any reports, or notices issued, and any other documentation that may be relevant to Cleveland Meat Company that you hold."
2075,2017-08-04,Information Management,Media,All provided,,2017-09-01,20,"I would be grateful if you could provide a copy of your agency/department's current policy/guidance to staff relating to the deletion of emails.I am also seeking the following information, if it is not contained within the above documents:1. An answer as to whether your organisation has a general policy on automatically deleting emails after a certain period of time. If so, what type of emails are deleted (e.g. calendar invites/sent items/inbox items/all items) and after what period of time?2. I note that National Archives guidance states that organisations should ""define clearly which emails need to be kept for business or historical value"". Please provide your organisation's definition.3. Details of your organisation's policy on routinely deleting dormant accounts/those of former staff (i.e. what type of emails are deleted and after what period of time?)I am making this request to all central departments and a number of additional agencies. If you handle FOI requests for more than one organisation I would be grateful if you could process this individually for each of those organisations."
2076,2017-08-08,EU Exit,Media,All provided,n/a,2017-09-06,20,"I am lodging an official request for information under the Freedom of Information Act.International Trade Secretary Liam Fox, speaking on BBC1's Sunday Politics on 16/07/17, stated that all Government departments had their own ""contingency plan"" in case there is ""no deal"" reached on Brexit by March 2019.- Did the Food Standards Agency have such a ""contingency plan"" on 16/07/17?- If it did, what date was the Food Standards Agency's ""contingency plan"" for ""no deal"" on Brexit completed?- If it did not have such a ""contingency plan"" for ""no deal"" on Brexit on 16/07/17, does the Food Standards Agency have one now?"
2077,2017-08-09,Ops Assurance,What do they know,All withheld,s38,2017-09-01,11,"Dear Food Standards Agency,I would like a list of Slaughter Houses approved for religious slaughter of livestock, also a specific indication of which are approved for non-stun slaughter."
2078,2017-08-10,RDD,Business,Not held,N/A,2017-08-17,5,"I am looking for as much information as possible relating to the mobile food catering industry.Could you please send me a full list of all businesses, and their registered addresses, who have registered for a licence to sell food from a mobile vehicle. Could you please include number of vehicles registered to sell food, type of food they sell and the locations in which they are licensed to sell the food. I would also like any information you hold in relation to the vehicle itself, including manufacturer, fittings, health & safety features and rating, vehicle ownership details and any other information you can provide."
2079,2017-08-11,Operations,Media,Part withheld,S43,2017-09-11,20,1. How many slaughterhouses and cutting plants across the UK have had their approval reviewed in each year from 2013 2017.Please name each plant in the count for each year2. How many slaughterhouses and cutting plants had their approval removed in each year from 2013 - 2017Please name each plant in the count for each year
2080,2017-08-14,Analytics,What do they know,Not held,N/A,2017-08-31,12,"For each year from 2012 to date, by individual year, the number of individuals in the UK made ill by food poisoning and state whether the food poisoning has been medically proven or is an estimate by some other means - please state what means the estimate is made. Please state if any of the incidents ended in death.For each year from 2012 to date, by individual year, the number of individuals in the UK made ill by food poisoning broken down by individual food source, and state if the food poisoning has been medically proven or is an estimate by some other means - please state what means. Please state which, if any of the incidents ended in death.For the above question 2. where the food source is grouped, as for example, vegetables or salad, please provide the information by individual type of vegetable or salad e.g. how many were made ill eating carrots, or celery. Or if dairy products, then by cheese or butter or pasteurised or raw milk. Again, state if the food poisoning was medically proven or estimated in some way, give the way it was estimated. Please state which, if any of the incidents ended in death.For each of the above questions 1. 2. and 3. please state by the number out outbreaks e.g. if 10 individuals were affected by one outbreak."
2083,2017-08-16,Estates,Legal,All provided,n/a,2017-09-12,18,"I would be grateful if you would provide me with information held by your Department relating to the following: (a) The number of Crown properties in England and Wales owned or operated by your Department;(b) The identity and location of these Crown properties;(c) The total number of Government employees has working at these properties. If this information is not available in the form requested then I would be grateful for any similar information that would be of assistance in allowing at least an approximation to be made to these requests for information. For the avoidance of doubt, my request for information is made under the Freedom of Information Act (?FOIA?) 2000. If, for whatever reason, you are either unable or unwilling to provide me with the above information, I request that you provide me with the reason(s) for this refusal. "
2082,2017-08-18,Science & Policy,Media,Rejected on cost grounds,S12,2017-09-14,7,"My inquiry is about research conducted by Public Health England researchers and published in Epidemiology of Infections, a journal. The research was entitled Pork products associated with human infection caused by an emerging phylotype of hepatitis E virus (HEV) in England and Wales.This research was also the subject of various discussions between PHE and the FSA. I would like to request all the background data associated with this report held by the FSA including full details and any discussions relating to the retailer referred to as 'Supermarket X'. This includes any discussion (emails, minutes or other documents) as to whether or not 'Supermarket X' should be identified.I would also like to request details of any FSA correspondence with 'Supermarket X' (understood to be Tesco) relating to Hepatitis E over the last 18 months.Can you also send me details of any correspondence between the Food Standards Agency, PHE and other bodies, including the NHS Blood Transfusion service, relating to the risk of infection from Hepatitis E genotype 3 from eating pork products.The research referred to above suggests that certain pork products sold by Supermarket X had a significant risk of infecting people eating them with HEV. This is an issue of very justifiable public interest and concern."
2084,2017-08-21,Ops Assurance,Industry,Rejected on cost grounds,s12,2017-08-25,5,"We request that all communications (including, for the avoidance of doubt, all letters, circulars and emails) from the 1 October 2015 onwards between the Food Standards Agency and Defra regarding the use of V-Restrainers in halal and kosher slaughter plants, whether stunned or without stunning, be provided."
2085,2017-08-22,Ops Assurance,Industry,Rejected on cost grounds,n/a,2017-08-25,3,"Please treat this correspondence as a Freedom of Information Act request on behalf of [a meat slaughter approval authority] a non for profit organisation We request that all communications (including, for the avoidance of doubt, all letters, circulars, minutes of meetings and emails) from the 1 October 2015 onwards between the Food Standards Agency and Defra regarding the use of V-Restrainers in halal and kosher slaughter plants, whether stunned or without stunning, be provided. "
2087,2017-08-22,Ops Assurance,Media,Rejected on cost grounds,Section 12,2017-08-25,3,"Please treat this correspondence as a Freedom of Information Act request of behalf of the [a meat slaughter approval authority]. We request that all communications (including, for the avoidance of doubt, all letters, circulars and emails) from the 1 October 2015 onwards between the Food Standards Agency and Defra regarding the use of V-Restrainers in halal and kosher slaughter plants, whether stunned or without stunning, be provided. "
2086,2017-08-23,"Health, Safety & Wellbeing",Media,All provided,n/a,2017-11-16,40(extended),"I would like to receive all information you hold regarding Food Standard Agency employees and representatives, who inspect facilities in the meat sector, reporting they have been harassed or bullied (including any acts of malicious damage to property). I am seeking information on incidents during 2016 and 2017.Please could you provide the information in a list of columns showing:1/ The date of the alleged incident;2/ The name and location of the meat business where the allegation occurred;3/ The type of meat business ? ie, poultry, red meat etc;4/ The alleged act of intimidation and/or violence perpetrated;5/ What action was taken."
2088,2017-08-23,Ops Assurance,Industry,Rejected on cost grounds,n/a,2017-08-25,2,"Please treat this correspondence as a Freedom of Information Act request of behalf of the [a meat slaughter approval authority]. We request that all communications (including, for the avoidance of doubt, all letters, circulars and emails) from the 1 October 2015 onwards between the Food Standards Agency and Defra regarding the use of V-Restrainers in halal and kosher slaughter plants, whether stunned or without stunning, be provided. "
2089,2017-08-23,Science & Policy,Member of the Public,Rejected on cost grounds,S12,2017-09-14,15,"description:-  full and detailed disclosure of your (fsa) complete file/s on the german and dutch contaminated pork products containing the virus - hev g3 -2 which was or is currently being sold by an 'un-named uk supermarket to customers in the uk.  these european mainland pork products where imported when they were known to be infected by eu companys exporting them.your disclosure will include all discussions and paper work regarding this subject, e-mails and recorded meeting, noted phone calls etc including with the phe, relating.  the disclosure will also include your contact with the 'un-named' supermarket - full and detailed disclosure required as detailed above for phe.the diosclosure will also detail all remedial steps you the fsa have taken to ensure the safety of the british public with this infection and eradicating or to cut the risk to the lowest percent. it will also include all safety precautions and steps you the fsa have taken to prevent this event occuring again.  including the notification of the problem to the relevant government departments germany and holland (others if they apply) in this case.type point size 14pt.  hard copys.  a4 sheets.full disclosure is required in the full sence of the word.  i await your conformation of receipt of this request - by e-mail.  my thanks."
2090,2017-08-24,Ops Assurance,Industry,Rejected on cost grounds,Section 12,2017-08-25,1,"Please treat this correspondence as a Freedom of Information Act request of behalf of [a meat slaughter approval authority]. We request that all communications (including, for the avoidance of doubt, all letters, circulars and emails) from the 1 October 2015 onwards between the Food Standards Agency and Defra regarding the use of V-Restrainers in halal and kosher slaughter plants, whether stunned or without stunning, be provided. "
2091,2017-08-24,Incidents,Legal,Not held,n/a,2017-09-06,8,"We act on behalf of our client,[an individual], who attended [ a restaurant] on 7 October 2016 and contracted campylobacter following her visit to this restaurant. We are aware that our client contacted the Food Standards Agency to report the incident. I would be grateful if you could forward a copy of all documentation you hold in connection with any investigation into this incident."
