CaseNumber,DateOfRequestReceived,Division-Branch,ApplicantCategory,Outcomes,ExemptionsApplied,DateOfResponseSent,DaysTakenToComplete,RequestWording
2213,2018-04-11,Contaminants,Member of Public,All provided,N/A,2018-05-10,20,"Please could you prepare all the information you have on Coccidiostats particularly Eli-Lily Maxiban and other similar products that are being discussed at the EU monthly meeting. All information on residues of this Antimicrobial in poultry, eggs and milk ( as per the follow up EU recommendations on when it was licensed in 2010 screenshot) Please prepare this for me in an accessible way for a member of the public to read without acronyms and if they can?t be avoided please give a full explanation. Please also can you find all research and relevant studies and documents relating to the feeding of Antimicrobials in poultry and bovine production and a list of the tests that have been done on meat for human and animal consumption in the last 3 years.Please could you also tell me how much of these coccidiostats are imported each year and a list of farms that buy them from either U.K. or overseas suppliers.19/04/2018 - Further questions rec'd:Please could you let me have all the information you have on Narasin an Antimicrobial and Nicarzabin in animal feed and water? Any statistics you have on the testing of meat, eggs and milk for these contaminates. I know of Maxiban in the U.K. is there any information of the product that is sold in Europe, does it go under a different name? Also the reason for them being in the food chain? Please could you tell me if they are GM organisms? Please could you put this information in a format that can be easily understood by a member of the public with a list of all abbreviations. If you are unable to answer my questions please forward this to someone who can or the FOI officer. According to the information commissioners office a FOI request should be answered within 20 days. Also reading the report I found it difficult to understand how many members of the public were consulted about the presence of Antimicrobials in the food chain. The chart say 14 is that correct? "
2214,2018-04-12,FOI Team,Member of Public,Part withheld,s22,2018-05-11,20,"I have been trying to locate Food Standards Agency (FSA) data for Expenditure over ?25,000 but I have been unable to find this for the following months:? July 2017? August 2017? September 2017? October 2017? November 2017? December 2017? January 2018? February 2018Please could this data (in .csv or .xlsx format) be made available? "
2215,2018-04-13,FOI Team,Industry,All withheld,s40 (2) and (3)(a)(i),2018-04-24,8,Request for identity of requestor for FOI 2211Can I formally request under the Freedom of Information Act (FOIA) 2000 that that you disclose to me the identity of the requestor who has asked for information on specific details of major non-conformances in the most recent audits published by the FSA - in relation to our Brackley site. Please let me know the outcome of this request.
2216,2018-04-16,Finance,Media,All withheld,s21,2018-05-15,20,"I would like to request information on staff pay and executive emoluments under the Freedom of Information Act.For the avoidance of doubt, remuneration in this request includes (a) salary, (b) fees, (c) taxable allowances, (d) bonuses, (e) benefits in kind,( f) compensation for loss of office and (g) employer's pension contributions.1. For Food Standards Agency, please provide the number of staff in each of the following remuneration brackets:a) Under ?100k b) ?100 k- ?150k c) ?151k -?250k d) ?251+ e) Total number of staff (should be sum of a to d)2. Broken down by financial year since 2010, please provide a breakdown of the remuneration (with a column for each letter given above in definition) for employees earning over ?100k. Please include their job title as well. "
2217,2018-04-13,HR Business Services Team,Member of Public,All provided,N/A,2017-05-14,20,"Please provide the information below, if it is not possible to provide the information requested due to the information exceeding the cost of compliance limited identified in Section 12, please provide advice and assistance, under the Section 16 obligations of the act, as to how Ican refine my request.1. Please provide the following information for the people responsible for the following HR functions (Name, job title and email address)1a. Overall HR1b. HR/Workforce Planning2. For the following financial years (2015/16 and 2016/17), please provide the following information2a. What is the organisations total gross pay costs (all expenditure on staff)2b. What is the organisations total pay costs on your permanent workforce (staff that hold permanent contracts only)2c. How much did the organisation spend on contingent (non-permanent) or temporary workers (this includes any temporary or contract workers such as agency workers, casual workers, temps, self-employed workers / contractors, inc. PSCs, umbrella companies, and all types of short and long term contractors)3. For the following financial years (2015/16 and 2016/17), please provide the following information, providing the figures as the number of employees & full time equivalents (FTE)How many permanent workers did the organisation employ:3a. Number of Employees3b. Full Time Equivalent (FTE)On average, how many contingent (non-permanent) or temporary workers has the organisation engaged with: (this includes any temporary or contract workers such as agency workers, casual workers, temps, self-employed workers / contractors, inc. PSCs, umbrella companies, and all types of short and long term contractors)3c. Number of Employees3d. Full Time Equivalent (FTE)4. Please list the software the organisation uses for the following HR functions4a. HR4b. Payroll (if the organisation uses multiple payroll software for different workers/payroll frequencies ie. substantive, agency/weekly, monthly payroll - please list all)4c. Recruitment4d. HR/Workforce Analytics4e. Other employee/HR related systems for tracking or planning5. Please state which Enterprise Resource Planning (ERP) software the organisation utilises e.g Oracle, SAP, PeopleSoft, Workday6. Does the organisation have a HR data warehouse?"
2218,2019-04-27,Field Ops,Media,Part withheld,"S21, S30, S31, S40",2018-07-10,50,1) All subsidiary information surrounding the compilation of the investigation report into 2 Sisters Food Group 
2219,2018-04-18,Contaminants,Member of Public,All withheld,s22,2018-05-14,17,"Has the survey on metals and other elements in infant food mentioned on your website (link and text from the website below) been completed? (the webpage was last updated over 2 years ago)  If so, what were the results?  And what are the FSA?s considerations regarding further risk management?  If it has not been completed, when will it be??The FSA is carrying out a survey on of metals and other elements in infant foods; the results will be used to look at the exposure of infants to rice products and arsenic. The FSA will consider whether the results indicate any further risk management action is required to compliment the EU maximum limits.?https://www.food.gov.uk/science/arsenic-in-rice"
2220,2018-04-18,NFCU,Member of Public,All provided,N/A,2018-05-16,19,"1. What is the charge for anyone caught illegally selling DNP as a diet pill in the UK.2. How many sellers of 2,4 Dinitrophenol (DNP) who have illegally sold DNP as diet pills, have been identified? i.e. Sellers who have taken payment and completed a delivery to any UK addresses.3. Please list from which countries are those sellers who have been identified.4. Of those identified how many have been charged with an offence?       5. Of those identified who have been charged with an offence, and of those how many have been prosecuted and convicted with an offence?  6. Please provide details of what the FSA CU knows about the legislation in the UK, Ukraine, Turkey and the USA (UK, UKR, TU, USA) as to the sales of so called DNP diet pills? If it does not know, please say so. That is to say:a. As to whether it is an offence or not?b. As to whether it is on their statute books?c. As to whether its different to our controls and laws?i. As to whether or not any action has been taken by any of those Countries (UK, UKR, TU, USA) in respect of Controls, changes to Laws or Prosecutions.  7. What action is being taken to clamp down on search engine providers who facilitate the advertising of DNP so called diet pills.8. What action is being taken to clamp down on banks and payment collection entities (i.e. PayPal) who facilitate the transacting of illegally sold DNP so called diet pills."
2221,2018-04-26,RDD,Media,All provided,N/A,2018-05-18,15,"Under the Freedom of Information Act 2000 I seek the following information about the budget for the national coordinated sampling programme. 1. What is the FSA budget for local authorities in the national coordinated sampling programme for the last 10 years? Please provide a breakdown of the budget for each year starting at 2007/8 up to 2017/18.2. Please provide a breakdown of the meat sampling budget for each region in England for 2015/16, 2016/17. "
2222,2018-04-26,NI,Other,Not held,N/A,2018-05-01,3,"[a legal firm] are instructed on behalf of [an insurer], who are the Product Liability Insurer for a company known as [a meat processing company].[a meat processing company] trade from an address [in Northern Ireland].?We are investigating a claim submitted and hereby submit under the Freedom of Information Act a request for information.? Can you confirm the following: 1. Have the FSA have historical issues with [a meat processing company] since December 2011. 2. Do [a meat processing company] have a licence to process food on this premise. 3. Have [a meat processing company] been the subject to any period inspections 4. If so, please disclose these inspection(s) 5. Have [a meat processing company] been served with any prohibition notices or formal prosecutions by the FSA since December 2011. "
2223,2018-04-26,HR,Member of Public,All provided,N/A,2018-05-21,16,"Please can you process the following questions as a freedom of information request:A) How many non-disclosure agreements has the authority agreed in each of the calendar years of 2014, 2015, 2016 and 2017? Please provide individual figures per year. Please also provide reasons for the agreements being agreed where possible (e.g. 2 whistleblower complaints). Please provide the total number of NDAs but also the different types of NDA agreements (e.g. whistleblower complaint/ / sexual harassment complaint etc.). Please make clear if the agreements concern commercial companies rather than employees.B) Please provide the total amount of financial compensation awarded as part of these agreements for the entirety of this period in ?.Please provide the information in the attached spreadsheet.Below is a definition if helpful:""Non-disclosure agreementsNon-Disclosure Agreements is a catch-all term for agreements that include confidentiality clauses ? sometimes referred to as gagging clauses.They are used in employment contracts for a range of purposes including, for example, protecting intellectual property, trade secrets or other confidential information such as customer details.They are also commonly used in agreements that are reached between employers and employees when employment is terminated (known as settlement agreements).However, there has also been criticism of their use in sexual harassment cases, with concerns that they may be used to conceal improper, discriminatory or even illegal behaviour or to impede reporting of such behaviour to the proper authorities."""
2224,2018-05-01,Imports Team,Pressure Group,All provided,N/A,2018-05-25,17,"? ? Can you please let me know how many shell eggs were imported into the UK in 2016 and then how many shell eggs were imported in 2017. Please provide me the names of the countries they were imported from, what production system they were from (free range, barn, enriched cages?) and how many for each country and each production system per year.? Can you please let me know how many shell eggs were exported from the UK in 2016 and then how many shell eggs were exported in 2017. Please provide me the names of the countries they were exported to,  what production system they were from (free range, barn, enriched cages?) and how many for each country and each production per year.? Can you please let me know how many litres of liquid eggs were imported into the UK in 2016 and then how many litres of liquid eggs were imported in 2017. Please provide me the names of the countries they were imported from, what production system they were from (free range, barn, enriched cages?)  and how much for each country and each production system per year.? Can you please let me know how many litre of liquid eggs were exported from the UK in 2016 and then how many litres of liquid eggs were exported in 2017. Please provide me the names of the countries they were exported to, what production system they were from (free range, barn, enriched cages?)  and how much for each country and each production system per year.Please consider this as a FOI request and please let me know if I can help in any way or if the questions are not clear."
2225,2018-05-01,FCT,Member of Public,Not held,N/A,2018-05-15,10,Please release all emails between [a professor] and any employee at the International Life Sciences Institute between 1 January 2015 and 1 January 2017 (inclusive)Please release the information in the form of an email
2226,2018-04-30,Incidents and Resilience ,Business,All withheld,"s27, s44",2018-05-15,10,Can you tell me how many partridges there are seized at Lincolnshiregame ltd ?  (  RASFF 2017.1655   -  12/10/2017 )Can you please forward me proof
2227,2018-05-03,UKFSS,Media,Part withheld,"S31, S43",2018-06-29,40,"1. How many times in 2017 was meat found to have been mis-sold (as in, called one meat when in fact it was another) in the UK?2. Can you provide specific details (dates, suppliers, meat type etc) of all cases where meat has been mis-sold in the way described above?"
2228,2018-04-30,FCT,Member of Public,Not held,N/A,2017-05-18,13,"Please send to me any record of evidence that shows electoral fraud will be committed at the May 3rd 2018, United Kingdom local elections."
2229,2018-05-14,Procurement Team ,Member of Public,Part withheld,s22,2018-06-12,20,"Please find my request below, which relates to the organisation?s contract relating to their energy management system. Not all organisations have energy management system and if the organisation does not have one please ignore the contractual part of my request (1-6) and concentrate on questions 7-12. 1.       The supplier who provides the software to the organisation?2.       The cost associated with the software. Please provide me with the annual spend.3.       What is the brand of the software?4.       What is the duration of the contract?5.       When does this contract expires?6.       When does the organisation plan to review this contract?7.       Can you please provide me with the contract description of the services provided under the agreement with the supplier? This also includes potential extensions and support and maintenance services. 8.       What is the organisation?s annual energy spend for the following:a.       Electricityb.      Gasc.       Water9.       What is the total number of meter points for Electricity for:a.       Non Half Hourly (NHH) meter pointsb.      Half Hourly (HH) meter points10.   What is the total number of Gas meter points?11.   What is the total number of Water meter points?12.   What is the total number of meter points for specialist gases and liquids?13.   Can you please provide me with the contact details of the key person responsible for this contract or around energy management. 14.    Can you please send me the organisations? energy management strategy/plan that covers 2018?"
2230,2018-05-03,tbc,Pressure Group,Not held,N/A,2018-05-17,9,"Please provide information on black spots in farmed salmon since 1 January 2016.Please include any testing and data on prevalence in salmon sold in the UK (i.e. Scottish, Norwegian etc).  Please include any complaints, reports or notification from retailers, processors, inspectors or any other parties in relation to black spots in farmed salmon.  Please include any correspondence with retailers, salmon farming companies, scientists, Government agencies or any other parties in relation to black spots in farmed salmon.  Please include any scientific reports and any research relating to black spots in farmed salmon.Please consider this a request for information under the relevant Freedom of Information and Environmental Information Regulations.  "
2231,2018-05-11,IKM,Pressure Group,Part withheld,s31,2018-06-11,20,"I would like some information on attempted cyber-attacks upon your organisation over the last three financial years. Please could you list the total number of recorded attacks, broken down by year and by type of attack e.g. malware, denial-of-service, phishing etc. e.g. FY 17-18 1,000 malware, 500 phishing, 500 Denial-of-service. Please detail whether any of these attacks successful of blocked. "
2232,2018-05-10,LAEMS,Member of Public,Not held,N/A,2018-06-04,17,"As iunderstand, in accordance with the LAEMS doc (the link to the pdf which has now been removed) local authorities are required to update the system with any food inspection that has been carried out along with their rating numbers. This can then be found on FSA rating website ( http://ratings.food.gov.uk/ ). I would like a breakdown of the following as per the business type on the rating website :1. The total number of 'other catering services' (specifically home caterers and event caterers) in London, preferably broken down into boroughs?2. The total numbers of new businesses (in the same category - 'other catering services') entered in the system by local authorities in 2016, 2017 and 2018 (to date)?3. The total number of mobile caterers in London, preferably broken down into boroughs?4. The total numbers of new businesses (in the same category - 'mobile caterers') entered in the system by local authorities in 2016, 2017 and 2018 (to date)?5. If possible, what was the common reason applicants failed inspection?In the LAEMS doc, these are broken down on p74-p77 differently to the rating website for example home caterers in the LAEMS docs comes under 'Restaurants and caterers - Other' however i have spoken to Michael Harding in the FSA rating team and he confirmed on the rating website this falls under the business type 'other catering services'.Can you provide this information in an excel format detailing business name, address, rating number and last inspection carried out so I can sort and filter. I understand you can download some sort of data from the FSA website ( http://ratings.food.gov.uk/open-data/en-GB ) but this doesn't work and also your website is confusing but i appreciate this is because FSA is in the process of updating its website. I appreciate that it is the responsibility of the local authorities to input the information into the system however the FSA as i would expect have the data of the London boroughs available on the system to pull out. "
2233,2018-05-14,Contaminants,Pressure Group,Not held,N/A,2018-05-25,9,"Please provide information on microplastics, testing and farmed salmon since 1 January 2017.  Please include testing of microplastics in farmed fish.Please detail any scientific studies, correspondence on the issue, internal briefings, media reaction, research and other information. As context, Scottish Salmon Watch's submission earlier today to the UK Government's 'Sustainable Seas Inquiry' included:Microplastic Pollution from Salmon Farms48)  Salmon farms around Scotland are generating unknown quantities of microplastics.  In March 2018, the Scottish Government admitted via a Parliamentary Reply from the Cabinet Secretary for the Environment, Climate Change and Land Reform that SEPA ""does not currently monitor for microplastics but is engaged with academic researchers looking into improving understanding of this problem"" and that ""Marine Scotland monitors microplastics in the water column, in sub-tidal marine sediment and also on the sea surface which can wash onto beaches"".  49)  In Norway, Naturvernforbundet (Friends of the Earth Norway) estimate a potential of 325 tonnes of microplastic from Norwegian fish farms a year leading to calls for a ban on plastic pipes on salmon farms.  Read more via Feed pipe wear 'putting tonnes of plastic into sea'; Stop using plastic feed pipe, Greens urge;  What's known about microplastics and fish and Research in the pipeline to measure microplastic.  50)  Scientific research has shown that microplastics can spread salmon farming diseases such as Furunculosis and fillets of farmed salmon have been shown to be contaminated with microplastics.  Read more via Microplastics as a vector for the transport of the bacterial fish pathogen species Aeromonas salmonicida; Mail probe finds airborne plastic particles in EVERY sample of shop-bought fish tested; Are microplastics in your salmon fillet?; From sea to plate: how plastic got into our fish and Fish for dinner? Your seafood might come with a side of plastic.  Online via http://donstaniford.typepad.com/files/sustainable-seas-inquiry-by-the-environmental-audit-committee-may-2018-written-submission-by-ssw.pdfA FAO report - ""Microplastics in fisheries and aquaculture"" - published in 2017 includes:Salmon Business reported (15 December 2017): ?An individual salmon farm has between 500 meters and 10,000 m of this type of pipe. That means the release of microbeads from feed pipes at a given facility could be between 250 kilograms and 5 t in a pipe?s usage life,? said Friends of the Earth Norway.Their rough estimate, based on calculations of 800 grow-outs and 4,000 m of associate feed pipe, is that ?potentially? 325 t of microbeads are pumped into the sea every year by Norwegian salmon-farmers?The spreading of plastic and microbeads (of plastic) in the sea is a serious and worsening problem,? a statement from the group said. ?We demand a speedy change to the use of non-polluting material to slow its further spreading from aquaculture facilities,? the communique continued.Friends of the Earth sent their complaint to Norway?s Environment Minister, Vidar Helgesen. He promptly wrote newspaper VG telling them he?ll follow-up the matter.Read via ""Stop using plastic feed pipe, Greens urge"""
2234,2018-05-16,FOI Team,Business,All provided,N/A,2018-05-25,7,"Please provide the following information:?           A list of all food processing/packaging plants in the UKIn each case, please provide the following details:?           The addresses of the land or property?           The company names registered to those addresses?           Details of the purchaser or lease holder, if not a sole trader or private individual"
2235,2018-05-03,FCT,Member of Public,Advice and assistance provided,N/A,2018-05-18,11,I am Christian and against all animal cruelty especially the cruel Halal processing of meat.It is against my religion and my moral outlook to eat meat from animals subjected to this cruel process.Why are restaurants and similar food outlets not compelled to tell/publish the fact they are serving Halal meat so I can make a choice whether to use their services.What plans do the authorities have to make the above changes and respect my religious and moral rights as a British Citizen?
2236,2018-05-22,Food Additives,Media,Part withheld,S40,2018-07-13,20,"I would like to know details of ??including but not limited to, the following?? 1. The volume of correspondence the Food Standards Agency, its employees and its officers have received from representatives of the meat industry (that are not [a food processing company], trading as[a food processing company][) regarding nitrites or nitrates in processed meats since 29 December 2017.2. Copies of all written correspondence the Food Standards Agency and its officers have sent to and received from representatives of the meat industry (that are not [a food processing company], trading as [a food processing company]) regarding nitrites, nitrates and/or [a food processing company] since 29 December 2017.3. Copies of all internal written correspondence employees of the Food Standards Agency have shared with each other regarding nitrites and nitrates in processed meats ? and [a food processing company] - since 29 December 2017.4. The volume of correspondence the Food Standards Agency, its employees and its officers have received regarding [a food processing company] from representatives of the meat industry (that are not [a food processing company], trading as [a food processing company]) since 29 December 2017. ***Clarified request received*** Q3 should be  ""Copies of all internal written correspondence employees of the Food Standards Agency have shared with each other which includes either nitrites/nitrates in processed meats or [a food processing company]"""
2237,2018-06-26,FOI Team,Member of Public,Not held,N/A,2018-06-29,3,"Can you please let me know how much public money is spent for all school meals in England?Can you please tell me how much of this money goes to academies and how much goes to local authority schools?how much animal derived protein ( meat, fish, dairy and eggs) is purchased with tax payers? money? Can you please split it by meat, dairy and eggs?Does the FSA or central government know how much money each local authority spends on food in schools? Where is such information available please?"
2238,2018-05-24,Dairy Ops,Industry,All provided,N/A,2018-06-12,12,"Please supply a list of establishments producing Cow's milk, and the quantities, in the UK.Please supply a list of establishments producing Goat's milk, and the quantities, in the UK.Please supply a list of establishments producing Goat's Cheese in the UK.We would ideally prefer to receive the above information in the form of Excel spreadsheets."
2239,2018-05-29,Field Ops,Member of Public,All withheld,S43,2018-06-26,20,"I am writing to make a freedom of information request.Could you kindly provide me with the most recent statements of resources (SORs) for all operating slaughterhouses in the UK? Please feel free to redact any identifying information. All I ask is that you retain/allocate the following:i) Throughput numbers and types of species slaughteredii) Numbers of the different types of FSA staff at each establishmentiii) The anonymised slaughterhouse number for each slaughterhouse using the same codes of deterministic modification as per my previous request made last year which is available here. For example, if in my previous request there was a  slaughterhouse named Cru & El Abattoir and it was anonymised as A1, then I would ask in this request that Cru & El Abattoir be given the same code ie A1. This would allow for cross analysis of the results."
2240,2018-05-25,FOI Team,Member of Public,Part withheld,s22,2018-07-04,27 Late response,"Clarification ...All factory farms - poultry, cattle, pigs, eggs, milk, game.A list of where they get there Antimicrobials from...suppliers. All tests for Antimicrobials and antifungal residues in meat, offal, eggs, milk, poultry and animal feed.All tests on chicken manure and slurry for use as fertiliser on crops for human consumption, including bacteria, fungal spores and antifungal And Antimicrobial residues. All tests for bacteria in live and dead animals and if these samples were frozen before being tested. All environmental tests for and hygiene tests. All incidences of reported animal illness on farms in the U.K. All incidences of breach of hygiene standards in abattoirs.I need this information as I?m really struggling to find food chain information on fast food outlets /restaurants/ Hospitals and their suppliers for traceability of country of origin of meat etc.Please could you also tell me where I can find the traceability laws for Kentucky Fried Chicken.Where can I find the rules in coccidiostats and residues of Antimicrobials from food coming from other countries? 25/06/2018 - Further questions received Please could you release the information that you already have so I can make a start on my research. As you mentioned, on the 8th of May you had already started processing so there must be something to send out?Surely this information should be readily available at your fingertips so you are able to reassure the public of the quality of their food? Please could you tell me what data operating systems you use and who is the provider? What ?value for money? tests are done on the software. Are your staff supplied with regular training  to keep up to date with the programmes? Do you use google I am also struggling to find the final report into Contaminates in food on your website. Is the FSA considering more public stakeholder engagement about this report? "
2241,2018-05-29,Health Safety and Wellbeing,What do they know,All provided,N/A,2018-06-19,14,"How many employer?s liability claims did the Food Standards Agency settle in the most recent financial year? What was the total in-year expenditure on employer?s liability claims inclusive of damages and other costs, such as claimants? legal costs and medical fees."
2242,2018-05-30,Contaminants,What do they know,All provided,N/A,2018-06-27,20,"Dear Food Standards Agency,I should be grateful if you could confirm:The number of reported deaths made known to you from acrylamide in 2015, 2016, and 2017.The number of diagnosed and reported cases of acrylamide disease, made known to you, in 2015, 2016 and 2017.I look forward to hearing from you. "
2243,2018-06-20,Hygiene Ratings Team,Media,All provided,N/A,2018-07-16,18,Hello ? my name is [a journalist]. I?m a reporter at the Daily Mail.  Please can I have a list of all restaurants across the country ? sectioned under the City they?re each based ? which have been awarded ?0? and ?1? hygiene ratings over the past three years. And also a breakdown of how many remain open.  
2244,2018-06-05,FOI Team,Business,Not held,N/A,2018-06-07,2,"Please provide the following information:?           A list of all the Fruit, Vegetable and Oil processing and packaging plants in the UKIn each case, please provide the following details:?           The addresses of the land or property?           The company names registered to those addresses?           Details of the purchaser or lease holder, if not a sole trader or private individual"
2245,2018-06-04,HR,Business,All provided,N/A,2018-06-08,4,1. Name of the unions signatory to your main collective agreement covering pay and conditions.2. Please state the settlement date of your latest collective pay agreement.3. Please state the employee groups covered by the pay agreement.4. Please state the number of employees covered by the agreement.5. Please provide a copy of your latest pay agreement.6. Was the latest pay settlement under the remit of the Civil service pay guidance?7. Please list the current grades and pay rates together with the previous year?s grades and rates for the below roles or their equivalents:a] Administrative Assistant (AA)b] Administrative Officer (AO)c] Executive Officer (EO)d] Higher Executive Officer (HEO)e] Senior Executive Officer (SEO)f] Grade 6g] Grade 78. Please give details of any individual performance-related increases paid.9] Please state the overall paybill increase as a result of the 2017/18 pay settlement (excluding employer National Insurance and employer pension contributions).10] Please provide the name and contact details of the person/s responsible for overseeing the organisation?s annual pay negotiations.
2246,2018-06-11,HR,Member of Public,All provided,N/A,2018-07-15,20,"1. How many employees or full time equivalents at the FSA are employed in Greater London?2. How many employees or full time equivalents are employed in the South East and East of England regions? 3. How many employees or full time equivalents are employed in regions outside London, the South East and East of England regions, and where are these employees located?"
2247,2018-06-13,HR,Member of Public,All provided,N/A,2018-06-27,12,"1. To date, since the HR Casework team with the Ministry of Justice have taken over your HR advice, could you please confirm how many employees of your department have been dismissed for 'medical inefficiency'? 2. How many of those employees were dismissed whilst absent with mental health conditions? 3. How many of those employees dismissed for 'medical inefficiency' were within 6 months of absence? and how many of those were absent with mental health conditions? "
2248,2018-07-02,"Data, Digital",Media,Part withheld,"S40, S43",2018-09-26,61 Late response,This is a freedom of information request Please can you release the any internal reports on the Blockchain trial described in this article: https://thenextweb.com/hardfork/2018/07/02/uk-government-food-agency-is-putting-meat-on-the-blockchain/
2249,2018-07-03,Food Crime Unit,Member of Public,All provided,N/A,2018-07-23,14,"For research purposes and completeness, please can you provide the following information under the Freedom of Information Act 2000 (The Act).1. Does the FSA know the exact number of total deaths that have been attributed to 2,4 Dinitrophenol (DNP) poisoning (ingestion) in the UK up to the 30th June 2018?2. How many total deaths are the FSA aware of that have been attributed to 2,4 Dinitrophenol (DNP) poisoning (ingestion) in the UK between 1st January 2017 to the 30th June 2018?3. How many deaths in total do the FSA hold on file, that have been attributed to 2,4 Dinitrophenol (DNP) poisoning (ingestion) in the UK to the 30th June 2018? a. That have been published.b. That haven?t been published. 4. How many deaths in total are the FSA aware of, that have been attributed to 2,4 Dinitrophenol (DNP) poisoning (ingestion) in the UK to the 30th June 2018, even if not held on file? 5. How does the FSA collate the statistics on such deaths i.e. which agencies or other sources does it rely on for reporting such statistics?6. How often does the FSA update its records as to such statistics?   7. Does the FSA hold any information as to the number of survivors of acute DNP poisoning, if so how many people have survived to 30th June 2018?"
2250,2018-07-03,"Data, Digital",Media,Part withheld,"S40, S31, S43",2018-09-26,60,Under the Freedom of Information Act 2000 I seek the following information. Please provide: 1) All internal email correspondence since April regarding the two-month pilot of blockchain technology in a cattle slaughterhouse 
2251,2018-07-03,Incidents and Resilience ,Member of Public,Rejected on costs grounds,N/A,2018-07-31,20,"Please provide, from 2013 to the present:Each food incident reported, including the date of the report, what category of food incident it was, any information provided as part of the report such as the nature of the problem, the company that filed the report, and what action was taken by the FSA. Please provide this in an excel spreadsheet."
2252,2018-07-05,Analytics,Member of Public,Part withheld,"S40, S43",2018-07-18,9,"After having read Simon Dawson's report relating to the microbiological risk associated with raw drinking milk, which included tables detailing the outbreaks involving human illness associated with RDM, I'd like to make a Freedom of Information request for a spreadsheet-readable listing, similar to that in Table 1 in the above report, of microbiologically confirmed outbreaks of human illness within the UK for the past 5 years including the year, region, agent, vehicle description, total number of cases, laboratory confirmed number of cases, number hospitalised, number of deaths, and any comments noted in the current information regarding each outbreak.I'm particularly interested in numbers relating to pasteurised dairy.  I've seen reports on the risks of RDM, but there seem to be no numbers available which would allow comparison with pasteurised dairy products, and few similar studies on any other food groups."
2253,2018-07-09,Ops Assurance,Industry,Part withheld,s40,2018-07-31,16,I wish to make an FOI request for copies of FSA documents relating to compensating FBOs when OVs fail to attend slaughterhouses during agreed hours of operation.The background is that on 18th December 2017 the OV who was due to carry out official controls at [a food business operator] was late arriving for duty which incurred the company considerable expense.  The company made a claim on the attached form that was provided by [FSA staff member].  You will see the form is headed  Annex 18 Compensation claim pro forma for official veterinarian non-attendance.Following submission of the form [a food business operator] were initially advised by [FSA staff] they would receive some compensation and where then told it was a mistake and they would not be compensated.  Annex 18 clearly relates to working instructions on how to handle such claims.  I therefore asked [FSA staff] for a copy of those instructions in order to assess whether there were grounds for making an official complaint. [FSA staff] did not provide a copy but sent me an explanation that the instructions had recently changed.  I again asked for a copy of the actual instructions that were in force on 18th December last year but have had no reply.I therefore wish to make an FOI request for three documents1. FSA?s  working instructions that covered paying compensation for non-attendance of OVs on 18th December 2017.2. FSA?s current working instructions that cover paying compensation for non-attendance of OVs.     3. The consultation document sent to industry seeking views on the changes made to paying compensation for the non-attendance of OVs.  (I suspect no consultation was made in which case confirmation of the same would be appreciated.)
2254,2018-07-11,FSA IT,Member of Public,All provided,N/A,2018-07-24,9,"Can you please send me an update of the organisation's mobile phone contract. Network Provider(s) - Please provide me with the network provider name e.g. EE, Telefonica, Vodafone, Three2.       Annual Average Spend- Can you please provide me with the average annual spend over the 3 years. If this is a new contract can you please provide the estimated annual spend.3.       Number of Connections- Number of connections for each network provider. Please split the connection into the following, Voice Only, Voice and Data and Data. Please provide me with a figure for each one including if the organisation doesn?t have any.4.       Duration of the contract- please state if the contract also includes contract extensions for each provider.5.       Contract Start Date- please can you provide me with the start date of the signed agreement. Please do not provide me with the framework contract date I require the contract dates of the signed agreement.6.       Contract Expiry Date- please can you provide me with the expiry date of the signed agreement. Please do not provide me with the framework contract date I require the contract dates of the signed agreement. If the contract is rolling please state.7.       Contract Review Date- Please can you provide me with a date on when the organisation plans to review this contract.8.       The person within the organisation responsible for this particular contract. Can you send me the full contact details Contact Name, Job Title, Contact Number and direct email address for each network provider? If full contact details cannot be provided please send me their actual job title."
2255,2018-07-09,FSA Comms,Media,Part withheld,s43,2018-08-06,20,"I am writing to you under the Freedom of Information Act 2000 to request the following information from you: * The software used by the Media/Communications team to manage press enquiries, send press releases and maintain a press contacts database. Please specify the value and the expiry date of any contracts associated with the tools you use. * The software used by the Media/Communications team to monitor the media. Please specify the value and the expiry date of any contracts associated with the tools you use. * The software used by the Media/Communications team to manage and store interactions with stakeholders (e.g. the media, regulators, government agencies, the community, the public). Please specify the value and the expiry date of any contracts associated with the tools you use. * The software used by the Public Affairs or any other relevant team to monitor the political environment and Parliament and log interactions with politicians, civil servants, lobbying bodies, trade unions, etc. Please specify the value and the expiry date of any contracts associated with the tools you use.  I`m happy to receive the information in electronic format. If you have any queries please don?t hesitate to contact me via email and I will be happy to clarify what I am asking for. "
2256,2018-07-11,Operations Assurance,Media,Part withheld,s43,2018-08-08,20,"Please could you share details of the number of pheasants and partridges (or wild game in feather) which were processed through FSA approved sites, each year, from 2008 to 2018."
2257,2018-07-11,NFCU,Media,All provided,N/A,2018-08-08,20,"Please confirm how many investigations into DNP, also known as 2,4-Dinitrophenol or just Dinitrophenol, the FSA has been involved in since April 2015.Please confirm how many of these are closed and are active. For those that are closed, should it not be time prohibitive, please confirm a brief description and the outcome.i.e. investigation with X into a website thought to be selling DNP. Action: website removed DNP from sale"
2258,2018-07-13,Incidents and Resilience ,Member of Public,Not held,N/A,2018-07-19,4,I have been given your email address from Public Health England. I would like some information or a report of the salmonella food poisoning that was found at the Frankfurt Christmas Market in Birmingham last December 2017. Please can you send me anything you have on this matter?
