"CaseNumber","DateOfRequestReceived","Division-Branch","ApplicantCategory","Outcomes","ExemptionsApplied","DateOfResponseSent","DaysTakenToComplete","RequestWording"
"1875","2016-04-08","Procurement","Member of the Public","All provided","n/a","2016-04-19","7","I require the organisation to provide me with the following contract information relating to the following corporate software/applications:1. Enterprise Resource Planning Software Solutions (ERP)2. Customer Relationship Management (CRM) Solutions3. Human Resources (HR) and Payroll Software Solutions4. Finance Software SolutionsAlong with the actual contract information for the above can you also provide me with the maintenance and support contract associated with each of the categories above if it not already within the existing contract.For each of the categories above can you please provide me with the relevant contract information listed below:1. Software Category: ERP, CRM, HR, Payroll, Finance2. Software Supplier: Can you please provide me with thesoftware provider for each contract?3. Software Brand: Can you please provide me with the actualname of the software. Please do not provide me with the supplier name again please provide me with the actual software name.4. Contract Description: Please do not just state two to threewords can you please provide me detail information about this contract and please state if upgrade, maintenance and support is included.Please also include the modules included within the contract.5. Number of Users/Licenses: What is the total number ofuser/licenses for this contract?6. Annual Spend: What is the annual average spend for each contract?7. Contract Duration: What is the duration of the contractplease include any available extensions within the contract.8. Contract Start Date: What is the start date of this contract?Please include month and year of the contract. DD-MM-YY or MM-YY.9. Contract Expiry: What is the expiry date of this contract?Please include month and year of the contract. DD-MM-YY or MM-YY.10. Contract Review Date: What is the review date of this contract?Please include month and year of the contract. If this cannot be provide please provide me estimates of when the contract is likely to be reviewed. DD-MM-YY or MM-YY.11. Contact Details: I require the full contact details of theperson within the organisation responsible for this particular software contract (name, job title, email, contact number).If the organisation have an outsourced provider that looks after all software can you please request this information from your provider?If any of the information is not available please can you provide me with the notes on the reasons why?"
"1876","2016-04-08","Private Office","Media","Part withheld","s22","2016-04-18","7","Please confirm, for each of the last five calendar years (2011, 2012, 2013, 2014 and 2015):? How many Freedom of Information Requests did the FSA receive?? How many of these requests resulted in full disclosure of the requested information?? How many requests resulted in partial disclosure?? How many requests were rejected?"
"1877","2016-04-14","Finance Revenue Accounting and Debt Recovery ","Other","All provided","n/a","2016-05-13","20","1. How many procurement cards are issued in your department?2. Have you had an internal audit of procurement card spending in the last three years? If so can you provide the report(s)?3. If any procurement card holder has been reprimanded for its usage or had atransaction queried for validity could you please provide the redacted details?4. Could you provide the name of the bank(s) who provide your departmentalprocurement cards.5. Could you please provide the following spending details on all departmental Government Procurement Cards and any other credit cards or equivilent that are paid for out of public funds in .csv format:? Posted date and occurred date if available? Billing amount (please let state how you express returns e.g. as a negative number, as a number in brackets or other variations)? Merchant name (as expressed in the bank statements if available)? Category of spending type if available (plus details of the classification system and the banking classification system if also available e.g Merchant Category? Code? Justification (if given)I request the above data for the last 3 fiscal years (2013/14, 2014/15, 2015/16). If this is not deliverable in a single request could you provide details for the last two fiscal years and summary total for fiscal year 2013/14 (with category breakdown if available). If you cannot provide all of the above within the scope mentioned above, please provide what available information you have and an explanation for why you cannot provide the data broken down into that field."
"1878","2016-04-25","Operations","Member of the Public","Part withheld","s38, s40","2016-05-24","20","I am writing to make a Freedom of Information Request. I wish to request details of all monthly records of non-compliance (and the enforcement action taken) by Official Veterinarians, as reported on the FSA's Animal Welfare Database, for between April 2014 - March 2016."
"1879","2016-04-25","Local Delivery Audit Team","Member of the Public","All provided","n/a","2016-05-23","19","The Food Standards Agency website states:- Local Authority selected for Delivery of Official Controls on Milk and Dairy Products auditJanuary - March 2015East Riding of Yorkshire Council.Enquiry of the FSA reveals that a formal report of the audit ,carried out in January 2015, was not produced, but a letter about the outcome was sent to Nigel Pearson, Chief Executive of East Riding of Yorkshire Council. I request a copy of this letter under the Freedom of Information Act."
"1880","2016-04-25","EU & International Strategy ","Business","All provided","n/a","2016-05-24","20","Under the terms of the Freedom of Information Act, please could you supply me with the following information about preparations your Department (including arms-length bodies) has made for a possible vote to leave the EU at the 23 June referendum: 1. What preparatory work has your Department (including arms-length bodies) undertaken in order to understand how its' remit and operations could be affected if the UK voted to leave the EU? 2. Please could you confirm whether your Department (including arms-length bodies) has delayed any decisions on policy matters, major projects or procurements until after the results of the EU referendum? If yes, please say which.  3. If the UK voted to leave the EU, please indicate whether your Department (including arms-length bodies) would be likely to experience any of the following over the next 2 -3 years as a direct or indirect result: ? A change in the remit or duties of your organisation? Major projects or procurements subject to uncertainty, cancellation or delayed decision-making? Need to help client group(s) understand the implications of EU exit for them? Need for increased budget to deal with additional workload related to EU renegotiation and exit? Need for extra staff to deal with additional workload related to EU renegotiation and exit? Need to change IT systems or implement new ones? Need to review suppliers or supplier contracts"
"1881","2016-04-27","Finance","Member of the Public","All provided","n/a","2016-05-25","19","1. How much was spent in 2015 by the agency on travel costs for all staff and Directors broken down by road, rail and air?2. How much was spent in 2015 by the agency on accommodation for all staff, and Directors broken down by domestic and foreign expenditure?3. Does the department use the services of a travel management company to minimise these costs to the taxpayer?4. If yes to question 3, which travel management company does the department use currently?5. If yes to question 3, how much has the outside company been paid in respect of it's services (excluding travel and accommodation charges) in 2015?6. If yes to question 3, how much has the employment of an external travel management company saved the department in 2015?"
"1882","2016-04-27","Operations","Media","Not held","n/a","2016-04-28","1","1. I am requesting the current poultry register consisting of businesses trading in poultry only.2. How many inspections took place on poultry farms on the poultry register over the past financial year?3. How many of those businesses on the poultry register failed inspections? 4. Does the FSA log which businesses failed inspections? If so which ones did in the past financial year?5. Did the FSA remove any poultry business from the register in the past financial year? If so how many businesses and which ones?6. Does the FSA log when an inspection finds salmonella, Campylobacter or other bacteria causing infections are found? If so how many, and which businesses over the past financial year?"
"1883","2016-05-03","Hygiene Ratings","Business","All provided","n/a","2016-05-27","18","The request is with regards to the UK food hygiene rating data available under the Open Government Licence at http://ratings.food.gov.uk/open-data/en-GB I would like to find out if there is any third-party intellectual property contained within the address information. For example, does the dataset contain any information which may be copyright Royal Mail or the Ordnance Survey or which they may exercise any rights over, and which is not covered by the OGL?To help me ascertain this please could you advise:Database creation:? How was the database created? i.e. from what sources, by whom, and when? Was the Postcode Address File from Royal Mail or AddressBase from Ordnance Survey, or any predecessor products to AddressBase, or any products incorporating these products, used as a source of addresses when creating the dataset?? Were any of these products used to check, validate or correct addresses from another source when the original database was created?Database update:? What sources are used to update the dataset?? Are updates from Royal Mail or Ordnance Survey used to provide updates to the database?? Do you check, validate or correct addresses in updates to the database against either the Postcode Address File from Royal Mail or AddressBase from Ordnance Survey, or any service that uses those databases as its source?? Prior to making this data available under the Open Government Licence, did you receive any legal advice with regards to third-party intellectual property rights?"
"1884","2016-05-04","Field Operations","Pressure Group","Rejected on cost grounds","s12","2016-06-02","20","I would like to request copies of the FSA staff's daybooks plus the vets' Official Notebooks for all approved slaughterhouses in West Yorkshire from January 1st 2014 to April 30th 2016. (In case of different terminology being used, these are the records that the FSA requires all its staff in slaughterhouses to maintain, and in which all incidents, events, actions and advice are recorded.)We would expect all personal details to be redacted, and not to receive any information relating to ongoing court cases."
"1885","2016-05-09","Operations","Media","All provided","n/a","2016-05-26","14","Under the FOI I am looking to see how many approved premises there are in Wales and the UK (separate figures please) for mince meat that is intended to be supplied raw."
"1886","2016-05-11","Digital Communications","Media","All provided","n/a","2016-06-02","15","1. Please could you tell me the amount of money your department has spent on social media for the past 3 years.2. Could you provide this information broken down year by year? 3. Please could you outline what the money was spent on (E.G Facebook post boosts, ads, etc.)"
"1887","2016-05-16","Private Office","Member of the Public","Part withheld","s40","2016-06-14","20","Can you please provide me with an up today organisational chart for the Head of Private Office and Board Secretary Directorate, showing all positions within it and a copy of the most recent up to date job descriptions for all posts that fall within it."
"1888","2016-05-16","Consumer Protection ","Legal","Part withheld","s40","2016-06-13","19","Copy of Minutes of all Incident Management Team meetings in relation to the Botulism incident.?"
"1889","2016-05-20","Private Office","Member of the Public","All provided","n/a","2016-06-06","11","Please can you provide me with the organisation's existing contracts relating to facilities management for each of the categories below:A. Property and Building Services MaintenanceB. Cleaning and Janitorial ServicesC. Security Services- From building and car park security to prisoner escorting servicesD. Catering ServicesFor each of the contract above can you please provide me with the organisation's primary/main contracts that are above ?1,000.00. if there is no contracts above this value this request can be discarded but please respond and state this.1. What is the type of contract please pick from one of the categories above? If the organisation has a fully managed contract please state ?Managed?.2. Who is the supplier for this contract? Please can you provide me with the contract information for each individual supplier?3. What is the annual average spend? Please can you provide me with the contract information for each individual supplier?4. What is the contract duration? Please also provide me with any extensions that maybe offered to the supplier.5. What is the contract expiry date? Please at least provide me with the month and year.6. When will this contract be reviewed? Please at least provide me with the month and year.7. Can you please provide me with the total number of sites the contract covers? An estimate will also be acceptable.8. What services are provided under this contract? A brief description will be acceptable9. Who is the main contact from within the organisation responsible for reviewing this contract? Can you please provide me with their full name, actual job title, contact number and direct email address?10. Notes: If the contract information provided is going to be expiring within the next 3 months it would be helpful to know if you're going to renew or are planning to go to tender for a new contract for this particular service."
"1890","2016-05-10","","Member of the Public","Part withheld","s40","2016-06-08","20","I was told you have details of all authorized milk producers in the UK and I want to make my own ice cream using goats milk but am having real trouble finding anyone local.I live in Todmorden and want all ingredient local as possible so any information you could give me would be great.Also I had been waiting for months on the go ahead to be able to use the kitchen in the incredible aquaponics garden, at the back of Tod high school. But unfortunately recently got told they dont have enough spare electricity for me to join.So I am back to desperately searching for kitchen space to rent, because of floods alot of places in Tod and Hebden cant help or there just to small. The Princes trust have been helping me set up and my mentor thought you may have some knowledge on places I could rent a bit of space? It would only be one full day or two half days a week to begin with and space for a freezer and machine, If you could even point me in direction of someone that could help I would be so grateful."
"1891","2016-05-25","Financial Reporting and Accounting","Member of the Public","All provided","n/a","2016-06-23","20","* Please disclose the mean earnings for male employees and the mean earnings for female employees for the most recent year for which you have figures and please state which year;* Please disclose the median earnings for male employees and the median earnings for female employees for the most recent year for which you have figures and please state which year;* Please disclose the number of male employees by quartile salary bands and the number of female employees by quartile salary bands.* If within the limits allowable under the FOIA please also provide the respective figures for questions 1-3 for the preceding 12 month period."
"1892","2016-06-02","Local Delivery","Industry","All provided","n/a","2016-06-30","20","I am writing to you to request under the freedom of information act the full details of all the latest test results on bivalve fisheries within Southampton waters"
"1893","2016-06-07","Operations ","Legal","Rejected on cost grounds","s12","2016-06-23","13","You have asked for copies of records of complaints, written comments and correspondence, and notes of verbal complaints or comments received by the Food standards Agency in relation to Cank Farm from 1 January 2010 to the date of your letter (7 June 2016). This should include any complaints referred to the FSA from Stratford-Upon-Avon District Council, the Environment Agency or the Animal and Plant Health Agency throughout the requested period. 1. Please provide copies of complaints which include but are not limited to welfare, waste and food production caused by operations, activities, employees and vehicles associated with Cank Farm;2. Please also provide copies of internal information relating to the complaints made to the FSA and any Referrals, including but not limited to internal emails, memorandums, audio recordings of telephone complaints and records of meetings throughout the requested period;3. Any management data and reports held by the FSA in relation to Cank Farm, including but not limited to investigations into the complaints and details on the FSA's reasoning behind any decisions or findings. 4. All correspondence whether by email, letter or other forms between the FSA and (i) Summers Poultry Limited or (ii) Summers Holdings Limited or (iii) their respective legal representatives throughout the requested period relating to the complaints. "
"1894","2016-06-09","Operations ","Pressure Group","Part withheld","s30, s40, s43","2016-08-04","40","I would like to request copies of the FSA staff's daybooks plus the vets' Official Notebooks for one approved slaughterhouse - Severn Valley Lamb (2569) - for two months: June 2015 and May 2016.We would expect all personal details to be redacted."
"1895","2016-06-15","HR","Other","All provided","n/a","2016-06-20","3","1) Name of unions which are signatories to your main collective agreement covering pay and conditions; 2) Number of employees covered by the agreement; 3) Lists of grades and current pay rates. Please indicate any agreed equivalence between the grade names used within the list and the following civil service grades:  1) Administrative Assistant (AA) 2) Administrative Officer (AO) 3) Executive Officer (EO) 4) Higher Executive Officer (HEO) 5) Senior Executive Officer (SEO) 6) Grade 7 7) Grade 6 4) Copy of your latest pay settlement. If the latest pay settlement is based on the 1% maximum paybill increase set by the Treasury, please provide the following information on how the 1% has been applied:  1) Have there been any changes to the pay scales? 2) Are progression payments being paid? 3) Are performance-related bonuses being paid? If so, what are the arrangements for performance-related bonuses?"
"1896","2016-06-20","Finance and Planning","What do they know","Not held","n/a","2016-07-15","19","During the May 24 session of the Public Administration and Constitutional Affairs Select Committee, government lead non-executive Sir Ian Cheshire confirmed that the public versions of the Single Departmental Plans published online by each department represent top-level summaries of management information held internally. (Link: http://data.parliament.uk/writtenevidence/committeeevidence.svc/evidencedocument/public-administration-and-constitutional-affairs-committee/inquiry-into-government-accounts/oral/33850.html)I am therefore writing to request a copy of every version of the Single Departmental Plan currently used by the department, either externally or internally."
"1897","2016-06-14","Openness","Member of the Public","Not held","n/a","2016-06-21","5","1. Is there any legislation that restricts the sale of food products derived from EU Approved industrial hemp (Cannabis Sativa L.)2. As of 01/05/2016 s Cannabis Sativa L. legal in the UK to supply and sell?3. As of 01/05/2016 Is Cannabis Sativa L. legal in the UK to consume?4. As of 01/05/2016 Is Cannabis Sativa L. legal in the UK to possess?5. Can the people living on the land grow their own Hemp for herbal reasons and for cures for diseases (such as killing off cancer cells) under Common Law?6. Can the people living on the land grow their own Cannabis for herbal reasons and for cures for diseases (such as killing off cancer cells) under Common Law?7. Do the government Acts, Statutes and Orders regarding Hemp (if any) come under the jurisdiction of Common Law?8. Do the government Acts, Statutes and Orders regarding Cannabis (if any) come under the jurisdiction of Common Law?"
"1897","2016-06-14","Private Office","What do they know","Not held","n/a","2016-06-21","5","1st request 1) Is there any legislation that restricts the sale of food products derived from EU Approved industrial hemp (Cannabis Sativa L.)2) as of 01/05/2016 s Cannabis Sativa L. legal in the UK to supply and sell?3) as of 01/05/2016 Is Cannabis Sativa L. legal in the UK to consume?4) as of 01/05/2016 Is Cannabis Sativa L. legal in the UK to possess?Second request rec'd 20/06/20161. Can the people living on the land grow their own Hemp for herbal reasons and for cures for deseases (such as killing off cancer cells) under Common Law.2. Can the people living on the land grow their own Cannabis for herbal reasons and for cures for deseases (such as killing off cancer cells) under Common Law.3. Do the government Acts, Statutes and Orders regarding Hemp (if any) come under the jurisdiction of Common Law.4. Do the government Acts, Statutes and Orders regarding Cannabis (if any) come under the jurisdiction of Common Law."
"1898","2016-06-22","IT","Member of the Public","Not held","n/a","2016-07-20","20","1. The total number of calls made to 118 numbers over the past three years up to and including June 2016. Please could you break this down year by year. Please could you provide a figure, in pounds sterling, for how much these calls cost. Please could this also be broken down by year.2. Please could you also provide a figure for the number of calls made to numbers beginning with ?0871?, ?0872?, ?0873? and ?090? over the past three years up to and including June 2016. Please could you break this down year by year. Please could you provide a figure, in pounds sterling, for how much these calls cost. Please could this also be broken down by year.3. Please could you also provide a figure for the number of calls made to ?118 118? over the past three years up to and including June 2016. Please could you break this down year by year. Please could you provide a figure, in pounds sterling, for how much these calls cost. Please could this also be broken down by year.4. Please could you also provide a figure for the number of calls made to ?118 500? over the past three years up to and including June 2016. Please could you break this down year by year. Please could you provide a figure, in pounds sterling, for how much these calls cost. Please could this also be broken down by year.5. Please could you also provide a figure for the number of calls made to ?118 111? over the past three years up to and including June 2016. Please could you break this down year by year. Please could you provide a figure, in pounds sterling, for how much these calls cost. Please could this also be broken down by year.6. Please could you also provide a figure for the number of calls made to '09020442408' over the past three years up to and including June 2016. Please could you break this down year by year. Please could you provide a figure, in pounds sterling, for how much these calls cost. Please could this also be broken down by year.7. Please could you also provide a figure for the number of calls made to '6442408' over the past three years up to and including June 2016. Please could you break this down year by year. Please could you provide a figure, in pounds sterling, for how much these calls cost. Please could this also be broken down by year.If there is any guidance issued to staff on what numbers they can/cannot call, please can you provide this. Likewise, if there is a list of barred numbers, please could you provide this.If FOI requests of a similar nature have already been asked could you also please include your responses to those requests."
"1899","2016-06-30","Operations","Member of the Public","Part withheld","s31, s43","2016-07-28","20","Could you please supply me with the following information in relation to each year since January 1st 2005 when the above legislation came into force:1. A breakdown of the statutory or other powers that the Food Standards Agency (FSA) has that may assist in addressing any issues with regard to the environmental and health impact of the premises operating at the 2 Sisters Chicken Factory George Street Coupar Angus PH139LU and its environs, specifically this should cover (but not be limited to) any issues with relation to noxious odours, rubbish, pests and vermin2. A breakdown of the number of complaints or indications of concern that the FSA has received in relation to the above premises and its environs and when such complaints were made3. A breakdown of the nature/focus and the origins of the complaints outlined in point 2 above4. An outline of any monitoring of the Factory undertaken by the FSA, the periods such monitoring covered, how the monitoring was undertaken, including visits on site by FSA employees and records of any Meetings involving FSA personnel and persons associated with by the 2 Sisters Group, associated Companies or previous owners/operators with regard to such monitoring or any other matters associated with this Factory and its environs5. Any records associated with what such monitoring found and any conclusions drawn from this and any action proposed to address this, including how this would be monitored and assessed to its effectiveness6. Any documentation in relation to consideration by the FSA on issuing for example (but not limited to) Statutory Nuisance Orders, Enforcement Notices (or similar) in relation to these premises and its environs7. A copy of any Statutory Nuisance Orders, Enforcement Notices (or similar) issued by the FSA in relation to these premises or its environs8. A history of when any such Notices were served as a result of monitoring undertaken, discussions with the 2 Sisters Group (or previous owners/operators) or any other factors and an outline of what such factors were9. An outline of what actions were put in place in the Factory in response to such Notices or any other interaction with the FSA10. Any analysis undertake by the FSA, the 2 Sisters Group, or previous owners/operators to evaluate the effectiveness of action taken at the Factory to address any issues identified11. Any information on consideration by the FSA to report the Factory to the Procurator Fiscal (or other similar statutory/legal authorities) for noncompliance with any Enforcement Notices (or similar) issued by the FSA12. A breakdown of any future plans the FSA has for potential actions to address any ongoing issues13. Any analysis undertaken by the FSA comparing the operation of this Factory with similar operations owned by the 2 Sisters Group.Please include copies of material which you hold in the form of paper and electronic records including emails."
"1900","2016-07-01","IT","Member of the Public","All provided","n/a","2016-07-29","20","Please could you provide me with information about your ICT expenditure, as broken down in the attached template? I have included this template in order to make it easier for you to understand my requirements and provide answers.I appreciate that you may publish contracts and transparency data, but I was unable to find the information to the level of detail I require in publish sources.Within the response, please include: * Expenditure from all parts of your organisation (central services and business units); * As well as your own organisation, expenditure for any subsidiary organisations that fall within the scope of your accounts; and * Both revenue (or operating) expenditure and capital expenditureIf you could input the answers in this template and return to me by email as an attachment, this would be much appreciated."
"1901","2016-07-01","Legal","Academia","Not held","n/a","2016-07-28","19","I would like to request access to data on food law prosecution outcomes, specifically involving any offences under the Food Safety Act 1990. While I have been able to access this information for 2015/2016 from your website, I am looking for the same data as contained in the ?Local Authority and Food Standards Agency Food Law Prosecution Outcomes 2015-2016' Excel file for previous years, from 1995 to 2015 (inclusive) if possible."
"1902","2016-07-04","Finance","Member of the Public","All provided","n/a","2016-07-13","7","For the last two financial years (2014-15 and 2015-16) please provide data for all individual purchases made on procurement cards under ?500. For each transaction, I would like details including: the position of the cardholder (if possible), the amount spent, where it was spent, and what it was spent on. If this request exceeds cost limit, please just provide the data for the last financial year (2015-16)."
"1903","2016-06-30","Operations ","Legal","Advice and Assistance provided","n/a","2016-07-12","8","copies of records of complaints, written comments and correspondence, and notes of verbal complaints or comments ?Complaints) received by the Food Standards Agency (the ?FSA?) in relation to Cank Farm from 1 January 2014 to the date of your letter (30 June 2016)(?the Requested Period?). This should include any complaints referred to the FSA from Stratford-Upon-Avon District Council, the Environment Agency or the Animal and Plant Health Agency (?Referrals?)throughout the requested period. 1. Please provide copies of complaints which include but are not limited to welfare, waste and food production caused by operations, activities, employees and vehicles associated with Cank Farm;2. Please also provide copies of internal information relating to the complaints made to the FSA and any Referrals, including but not limited to internal emails, memorandums, audio recordings of telephone complaints and records of meetings throughout the requested period;3. Any management data and reports held by the FSA in relation to Cank Farm, including but not limited to investigations into the complaints and details on the FSA's reasoning behind any decisions or findings. 4. All correspondence whether by email, letter or other forms between the FSA and (i) Summers Poultry Limited or (ii) Summers Holdings Limited or (iii) their respective legal representatives throughout the requested period relating to the complaints. "
"1904","2016-07-07","FHRS","Business","All provided","n/a","2016-08-04","20","What advice, training, support on the food hygiene rating scheme, has the Food Standards Agency given Burnley Borough Council ?What has the FSA done to ensure Burnley council operates the scheme fairly and professionally without policitical/race or other bias ? What has the FSA done to ensure Burnley council follows the scheme 'procedures' ?When was Burnley council rated/approved to operate the food hygiene scheme ?Why does the FSA do nothing when a food trader (eg: Jeff Thomson, curried away) raises concerns about a council's bias, discrimination and failure to follow procedures, when carrying out and implementing a food hygiene rating ?What is the process for a food trader to appeal, through the FSA, against an unfair, biased and unprocedural rating ?"
"1905","2016-07-07","Incidents N.I.","Media","Part withheld","s31, s40, s43","2016-08-24","34","Further to discussions with Justin about my original FoI and the need to narrow it to avoid exceeding the limit in terms of cost, I should like to submit a modified FoI request for material relating to the Freeza Meats investigation as set out below. I am requesting ? the forensic accountants' report on Freeza Meats and Townview Foods prepared by Cavanagh Kelly and held by the FSA/FSA (NI)?all reports/statements made by Alan Stead?all reports/material prepared by Neil Wileman of Disklabs Ltd"
"1906","2016-07-08","HR","Member of the Public","Rejected on cost grounds","n/a","2016-07-27","13","1, The number of recorded incidents of harassment, bullying, obstruction, violence, intimidation, criminal damage* (however recorded by FSA) reported by FSA (or contracted) staff working at slaughterhouses / meat processing plants in 2016 so far*Criminal damage to FSA staff property2, The names / locations of the plants in question & details of each incident as held, what action was taken and the consequences that followed eg verbal advice, written warning, legal proceedings 3, Information as above held for 2015, 2014, 2013, 2012, 2011 "
"1907","2016-07-08","Operations","Member of the Public","Part withheld","s31, s38, s40","2016-08-02","17","1, The number of animal welfare breaches / non compliance recorded by FSA veterinary inspectors based at slaughterhouses / meat processing plants in England, Wales and Scotland in 2016 so far, with details of the breach / problems found. Note: to include any breaches relating to condition of livestock presented at the slaughterhouse itself, or thought - as far as veterinary officials can deduce - to have arisen during transport or on farm. Note: to include the name / location of the plants in question (if possible) 2, The same information for 2015, and 2014. I note similar information was published for the period 2011 to March 2014 http://www.food.gov.uk/about-us/data-and-policies/foia/foirelease/foiaeir2014/regulations-at-slaughter"
"1908","2016-07-08","FHRS","Member of the Public","Advice and Assistance provided","n/a","2016-07-19","6","A) How many people developed food poisoning after eating at a 0-2 star establishment in 2015-16 in the North East Region.B) How many establishments currently have 0, 1 or 2 star ratings in the North East.C) How many people have died from food poisoning at a 0 or 1 star establishment in the Uk from 2014 - 2016 (present)"
"1909","2016-07-11","Facilities","Business","Not held","n/a","2016-07-19","5","1. Does your organisation currently have a contract for Security alarms, CCTV & Fire detection? 2. When this contract(s) is due to end? 3. Who are these contract(s) with? 4. How many devices are supplied and what manufacturer are they? 5. Were these items purchased using procurement framework, if so which framework was used? 6. When does your organisation intend to tender for these services?"
"1910","2016-07-12","Consumer Protection","Member of the Public","All provided","n/a","2016-07-20","6","What date was the NFCU set up? How many prosecutions have the NFCU done?How many officers at the NFCU can take a formal food sample? "
"1911","2016-07-13","Operations","Legal","All withheld","s30","2016-09-20","49","Please provide copies of:1. HINS2. RANs3.Audit reports4. Any emails, records, comments, notes or memos relating to the justification of the frequency of audits; and5. Any referrals or recommendations for prosecution and the outcome of such referral or recommendationin relation to Cank farm from 1 January 2014 to the date of this letter"
"1912","2016-07-13","FHRS","Media","All provided","n/a","2016-08-09","19","The number of pubs to be given a zero food hygiene rating each year for the past five years."
"1913","2016-07-20","Openness, Data & Digital","Member of the Public","All provided","n/a","2016-08-17","20","1. How much do you spend annually on security, broken down as:1. Manned guarding2. Key holding/alarm response3. Security systems (CCTV/Access control etc.)2. For security contracts that you outsource, when are the expiry dates and what are the specific values per year?3. Who are your incumbent suppliers where applicable?4. If known, will you be procuring through the CCS Framework for any security provisions?"
"1914","2016-07-21","Radiological & Novel Foods","Member of the Public","Not held","n/a","2016-08-10","14","I am writ ing to request, as is my right under the Freedom of Information Act 2000, details of the agreement between the Food Standards Agency, other Government Departments and {possibly) other bodies which establihed the National Dose Assessment Working Group {NDAWG). In pa rticular I am seeking information as to the other organisations that set up the NDAWG with the Age ncy. The NDAWG was established to prov ide the Agency, and others with guidance on how to assess the impact on consumers of radioactive material released into the food chain.I think I ought to provide you with some background to this request. I was, when employed by the Agency, a member of the NDAWG Steering Group. I am currently a member of the Society for Radiological Protection's {SRP) Communications Committee . I was recently informed that Public Health England who were hosting the NDAWG website have ceased to do this. I am attempting, on behalf of the SRP, to arrange for the Reports and Guidance Notes produced by NDAWG to be made available via t he SRP website as these are a valuable resource. In order to do this I need to approach the organisations that formed the NDAWG to seek their agreement. In order to do this I need the information requested above toidentify the relevant organisations.I realise t hat the use of the Freedom of Informat ion Act to make such a straightforwar d request w ill involve you in admin ist rative effort. I have made this request infor mally to others in the Age ncy but unfortunately have not had a const ruct ive response ."
"1915","2016-07-25","Procurement / HR","Member of the Public","All provided","n/a","2016-08-19","19","To assist you, I believe this may best be sourced from your Category Manager for Professional Services within your Procurement section, or Procurement/ Purchasing/ Finance and HR/ Personnel/ Recruitment sections, depending on the organisational structure of the Food Standards Agency.1. Please advise the total staff headcount that are employed directly by the Food Standards Agency, with each part-time employee counted as one employee. Please exclude all temporary agency workers from this figure.2. Please identify each supplier that the Food Standards Agency has a contract with to supply temporary agency workers.3. Please identify: a. the type of contract that the Food Standards Agency has with each of these suppliers (preferred supplier list/ framework/ etc. If framework, please indicate b. which - e.g. MSTAR/ YPO/ Panel London/ Pan London/ NPS All Wales/ Crown Commercial Services/ etc; and c. whether this is on a neutral/ master/ hybrid vender model, or the lot number.4. Please advise for each contract identified within (2) above of: a. the current end date of the contract; b. the date(s) that any break clause(s) can be enabled; and c. the length of time of any extension that can be enabled.5. Please advise of the a. full name of the main contact at the Food Standards Agency who is responsible for the main (or majority of the) contract(s) identified within (2) above, together with their:b. job title;c. group (either team, division or department, whichever is the smallest identifiable group);d. telephone number;e. email; andf. full postal address, inc postcode.6. Please identify all suppliers that the Food Standards Agency has sourced a temporary agency worker from - but does not have a contract with - from 1 April 2015 to 31 March 2016.7. For each temporary agency supplier (either a. contracted as identified within (2) above; b. non-contracted as identified within (6) above; and c. all temporary workers the Food Standards Agency has sourced directly), how much has been spent on each supplier (or directly), from 1 April 2015 to 31 March 2016?I would like the above information to be provided in electronic copy, sent by reply of this request.If you believe this request is too wide or unclear, I would be grateful if you could contact me for clarification, as I understand that under the Act, you are required to advise and assist requesters. If any of this information is already in the public domain, please would you direct me to it, with page references and URLs, as appropriate."
"1916","2016-07-28","Health Safety & Wellbeing","Member of the Public","","","","","Under the Freedom of Information Act 2000 I request the following information (note timeframe and scope amended following advice from Health Safety & Wellbeing team)1, The number of recorded incidents of harassment, bullying, obstruction, violence, intimidation, criminal damage* (however recorded by FSA) reported by FSA (or contracted) staff working at slaughterhouses / meat processing plants in 2016 so far*Criminal damage to FSA staff property2, The names / locations of the plants in question & details of each incident as held, what action was taken and the consequences that followed eg verbal advice, written warning, legal proceedings3, Information as above held for 2015, 2014 and 2013"
"1917","2016-08-01","Openness Team / Operational Policy and Delivery","Media","Not held","n/a","2016-08-10","7","Could you please provide food hygiene certificates of all staff members at Greenslades Nursing Home, Exeter, Devon. Could you also confirm in writing the legislation in Nursing homes regarding this subject and the care providers legal obligations."
"1918","2016-08-03","HR","Member of the Public","All provided","n/a","2016-08-24","15","* Please provide figures for full-time equivalised annual basic salaries in response to the questions below:* Please disclose the mean earnings for male employees and the mean earnings for female employees for the most recent year for which you have figures and please state the dates to which it refers;* Please disclose the median earnings for male employees and the median earnings for female employees for the most recent year for which you have figures and please state the dates to which it refers;* Please disclose the number of male employees by quartile salary bands and the number of female employees by quartile salary bands.* If within the limits allowable under the FOIA, please also provide the respective figures for questions 1-3 for the preceding 12 month period, and state the end date."
"1919","2016-08-16","Openness Team / Operational Policy and Delivery","Media","Not held","n/a","2016-08-26","8","Please provide the date of the last food hygiene inspection by environmental health to the following nursing home:Greenslades Nursing HomeWilleys AvenueExeterDevonPlease provide the reports made by the inspectors,Please provide all the food handling certification of the staff, including the chefs and carers who handle and serve the food.Please provide the food standards legal requirements for all nursing and care homes funded by public money."
